"grid_point","Year","Objective","type1_biome","type2_vegetation_community","type3_vegetation_indicators","type4_indicators_history","OBJECTID","Action","Method","Type","layer","bird_MS_pt"
91,"2011","Weed Control","rangeland","shrubland","other shrub deciduous","other shrub deciduous",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
92,"2017","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
93,"2017","Weed Control","rangeland","shrubland","bitterbrush","bitterbrush",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
94,"2017","Weed Control","rangeland","shrubland","bitterbrush","bitterbrush",173,"Chemical","pre-emergent","broadcast","WC_2017","bird_MS_pt"
95,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
96,NA,NA,"rangeland","shrubland","wooded draw non-forest","wooded draw non-forest",NA,NA,NA,NA,NA,"bird_MS_pt"
97,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
98,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
98,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
98,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
99,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",187,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
99,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",229,"Seeding","Drill","island","RV_2017","bird_MS_pt"
99,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
99,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
99,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
100,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,"bird_MS_pt"
101,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
102,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
103,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
104,"2018","Revegetation","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",378,"Seeding","Broadcast","bare seed","RV_2018","bird_MS_pt"
105,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
106,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
107,"2014","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",44,"Seeding","Drill","continuous","RV_2014","bird_MS_pt"
107,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
107,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",153,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
107,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",3,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
107,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
107,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
107,"2020","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",25,"Cultural","Burn","prep","WC_2020","bird_MS_pt"
108,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
108,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",153,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
108,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",3,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
108,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
108,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
109,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",71,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
109,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",153,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
109,"2019","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",284,"Seeding","Drill","continuous","RV_2019","bird_MS_pt"
109,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",3,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
109,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
109,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
110,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
111,"2020","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",24,"Sage Thinning","Burn",NA,"VM_2020","bird_MS_pt"
112,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
113,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
114,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
115,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
116,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
117,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
118,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",73,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
118,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",79,"Seeding","Broadcast","bare seed","RV_2015","bird_MS_pt"
118,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
118,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",31,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
118,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
118,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",42,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
118,"2017","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",162,"Chemical","post-emergent","spot","WC_2017","bird_MS_pt"
118,"2018","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",135,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
119,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",81,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
119,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",0,"Seeding","Drill",NA,"RV_2015","bird_MS_pt"
119,"2019","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",281,"Seeding","Drill","continuous","RV_2019","bird_MS_pt"
119,"2021","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",317,"Seeding","Broadcast","bare seed","RV_2021","bird_MS_pt"
119,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",2,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
119,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
119,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
119,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",42,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
120,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
120,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
120,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
120,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",183,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
120,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",20,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
120,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",177,"Chemical","post-emergent","spot","WC_2022","bird_MS_pt"
120,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2022","bird_MS_pt"
121,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",75,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
121,"2016","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
121,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
121,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
121,"2013","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
121,"2022","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",177,"Chemical","post-emergent","spot","WC_2022","bird_MS_pt"
122,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
122,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
122,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
123,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
123,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
123,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
124,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",187,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
124,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",194,"Seeding","Drill","island","RV_2017","bird_MS_pt"
124,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",227,"Seeding","Drill","island","RV_2017","bird_MS_pt"
124,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
124,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
125,"2015","Weed Control","rangeland","shrubland","sagebrush","sagebrush",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
126,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,"bird_MS_pt"
127,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,"bird_MS_pt"
128,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
129,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
130,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
131,NA,NA,"forest","upland","mixed canopy conifer","mixed canopy conifer",NA,NA,NA,NA,NA,NA
132,NA,NA,"forest","riparian","riparian woodland","riparian woodland",NA,NA,NA,NA,NA,"bird_MS_pt"
133,"2018","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",135,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
134,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",80,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
134,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
134,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",31,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
134,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
134,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",39,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
134,"2017","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",157,"Chemical","post-emergent","spot","WC_2017","bird_MS_pt"
134,"2018","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",135,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
134,"2020","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",20,"Cultural","Burn","prep","WC_2020","bird_MS_pt"
134,"2021","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",7,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
135,"2014","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",43,"Seeding","Drill","continuous","RV_2014","bird_MS_pt"
135,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",74,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
135,"2019","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",282,"Seeding","Drill","continuous","RV_2019","bird_MS_pt"
135,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
135,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
135,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",31,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
135,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",39,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
135,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
135,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",190,"Chemical","pre-emergent","broadcast","WC_2016","bird_MS_pt"
135,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",2,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
136,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",75,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
136,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",152,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
136,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
136,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
136,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
136,"2018","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",108,"Chemical","post-emergent","spot","WC_2018","bird_MS_pt"
136,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",11,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
136,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",177,"Chemical","post-emergent","spot","WC_2022","bird_MS_pt"
137,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",75,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
137,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",152,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
137,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
137,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
137,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
138,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
138,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
138,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
139,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",226,"Seeding","Drill","island","RV_2017","bird_MS_pt"
139,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",44,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
139,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
140,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",187,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
140,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
141,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
141,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",179,"Chemical","post-emergent","spot","WC_2022","bird_MS_pt"
142,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
142,"2022","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",179,"Chemical","post-emergent","spot","WC_2022","bird_MS_pt"
143,"2018","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",108,"Chemical","post-emergent","spot","WC_2018","bird_MS_pt"
143,"2021","Weed Control","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",11,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
144,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
145,"2020","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",23,"Sage Thinning","Burn",NA,"VM_2020",NA
146,NA,NA,"forest","upland","wooded draw","wooded draw",NA,NA,NA,NA,NA,NA
147,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",74,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
147,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",152,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
147,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
147,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
147,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
147,"2018","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",117,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
147,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",11,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
148,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",75,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
148,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",152,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
148,"2018","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",387,"Live Plant","Container","PURTRI","RV_2018","bird_MS_pt"
148,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
148,"2011","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
148,"2012","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
148,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
149,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",187,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
149,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
150,"2017","Revegetation","rangeland","grassland","former cultivated","forage grass diversification",187,"Seeding","Drill","continuous","RV_2017","bird_MS_pt"
150,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
151,"2018","Weed Control","rangeland","shrubland","sagebrush","sagebrush",108,"Chemical","post-emergent","spot","WC_2018",NA
152,"2015","Weed Control","rangeland","grassland","former cultivated","forage grass diversification",0,"Chemical",NA,"broadcast","WC_2015",NA
153,NA,NA,"rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,NA,NA,NA,NA,NA
154,"2014","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",NA,"Sage Thinning","Manual","hand tool","VM_2014",NA
155,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",55,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
156,"2016","Vegetation Management","rangeland","shrubland","mixed sage and bitterbrush","mixed sage and bitterbrush",55,"Sage Thinning","chemical","tebuthiuron","VM_2016",NA
157,NA,NA,"rangeland","shrubland","bitterbrush","bitterbrush",NA,NA,NA,NA,NA,NA
158,NA,NA,"rangeland","shrubland","other shrub deciduous","other shrub deciduous",NA,NA,NA,NA,NA,NA
159,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
160,NA,NA,"rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",NA,NA,NA,NA,NA,NA
161,"2012","Revegetation","forest","upland","wooded draw","wooded draw",0,"Live Plant","Container","Mix","RV_2012",NA
162,NA,NA,"forest","riparian","riparian woodland","riparian woodland",NA,NA,NA,NA,NA,"bird_MS_pt"
163,"2018","Revegetation","forest","riparian","riparian woodland","riparian woodland",391,"Live Plant","Transplant","bulrush","RV_2018","bird_MS_pt"
163,"2018","Revegetation","forest","riparian","riparian woodland","riparian woodland",392,"Live Plant","Transplant","Mix","RV_2018","bird_MS_pt"
164,"2015","Revegetation","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",80,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
164,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
164,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",31,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
164,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"spot","WC_2012","bird_MS_pt"
164,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",39,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
164,"2017","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",157,"Chemical","post-emergent","spot","WC_2017","bird_MS_pt"
164,"2018","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",135,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
164,"2020","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",20,"Cultural","Burn","prep","WC_2020","bird_MS_pt"
164,"2021","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",7,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
165,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical","pre-emergent","broadcast","WC_2011","bird_MS_pt"
165,"2011","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",31,"Cultural","Burn","Prep","WC_2011","bird_MS_pt"
165,"2012","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",39,"Cultural","Burn","prep","WC_2012","bird_MS_pt"
165,"2015","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",0,"Chemical",NA,"broadcast","WC_2015","bird_MS_pt"
165,"2017","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",156,"Chemical","post-emergent","spot","WC_2017","bird_MS_pt"
165,"2018","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",135,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
165,"2021","Weed Control","rangeland","grassland","uncultivated grassland native or degraded","uncultivated grassland native or degraded",2,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
166,"2015","Revegetation","rangeland","grassland","former cultivated","forage grass restoration",74,"Seeding","Drill","continuous","RV_2015","bird_MS_pt"
166,"2016","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",4,"Mechanical","Machine","Rotary Mower","VM_2016","bird_MS_pt"
166,"2013","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",43,"Cultural","Burn","prep","WC_2013","bird_MS_pt"
166,"2018","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",117,"Chemical","pre-emergent","broadcast","WC_2018","bird_MS_pt"
166,"2021","Weed Control","rangeland","grassland","former cultivated","forage grass restoration",2,"Chemical","post-emergent","spot","WC_2021","bird_MS_pt"
